"datetime","groupDesiredCapacity"
"2022-03-17T09:26:00Z",1
"2022-03-17T09:27:00Z",1
"2022-03-17T09:28:00Z",1
"2022-03-17T09:29:00Z",1
"2022-03-17T09:30:00Z",1
"2022-03-17T09:31:00Z",1
"2022-03-17T09:32:00Z",1
"2022-03-17T09:33:00Z",1
"2022-03-17T09:34:00Z",2
"2022-03-17T09:35:00Z",2
"2022-03-17T09:36:00Z",2
"2022-03-17T09:37:00Z",3
"2022-03-17T09:38:00Z",3
"2022-03-17T09:39:00Z",3
"2022-03-17T09:40:00Z",3
"2022-03-17T09:41:00Z",3
"2022-03-17T09:42:00Z",3
"2022-03-17T09:43:00Z",3
"2022-03-17T09:44:00Z",3
"2022-03-17T09:45:00Z",3
"2022-03-17T09:46:00Z",3
"2022-03-17T09:47:00Z",3
"2022-03-17T09:48:00Z",3
"2022-03-17T09:49:00Z",3
"2022-03-17T09:50:00Z",3
"2022-03-17T09:51:00Z",3
"2022-03-17T09:52:00Z",3
"2022-03-17T09:53:00Z",3
"2022-03-17T09:54:00Z",3
"2022-03-17T09:55:00Z",3
"2022-03-17T09:56:00Z",3
"2022-03-17T09:57:00Z",3
"2022-03-17T09:58:00Z",3
"2022-03-17T09:59:00Z",3
"2022-03-17T10:00:00Z",3
"2022-03-17T10:01:00Z",3
"2022-03-17T10:02:00Z",3
"2022-03-17T10:03:00Z",3
"2022-03-17T10:04:00Z",3
"2022-03-17T10:05:00Z",3
"2022-03-17T10:06:00Z",3
"2022-03-17T10:07:00Z",3
"2022-03-17T10:08:00Z",3
"2022-03-17T10:09:00Z",3
"2022-03-17T10:10:00Z",3
"2022-03-17T10:11:00Z",3
"2022-03-17T10:12:00Z",3
"2022-03-17T10:13:00Z",3
"2022-03-17T10:14:00Z",3
"2022-03-17T10:15:00Z",3
"2022-03-17T10:16:00Z",3
"2022-03-17T10:17:00Z",3
"2022-03-17T10:18:00Z",3
"2022-03-17T10:19:00Z",3
"2022-03-17T10:20:00Z",3
"2022-03-17T10:21:00Z",3
"2022-03-17T10:22:00Z",3
"2022-03-17T10:23:00Z",3
"2022-03-17T10:24:00Z",1
"2022-03-17T10:25:00Z",1
"2022-03-17T10:26:00Z",1
"2022-03-17T10:27:00Z",1
"2022-03-17T10:28:00Z",2
"2022-03-17T10:29:00Z",2
"2022-03-17T10:30:00Z",3
"2022-03-17T10:31:00Z",3
"2022-03-17T10:32:00Z",3
"2022-03-17T10:33:00Z",3
"2022-03-17T10:34:00Z",3
"2022-03-17T10:35:00Z",3
"2022-03-17T10:36:00Z",3
"2022-03-17T10:37:00Z",3
"2022-03-17T10:38:00Z",3
"2022-03-17T10:39:00Z",3
"2022-03-17T10:40:00Z",3
"2022-03-17T10:41:00Z",3
"2022-03-17T10:42:00Z",3
"2022-03-17T10:43:00Z",1
"2022-03-17T10:44:00Z",1
"2022-03-17T10:45:00Z",1
"2022-03-17T10:46:00Z",1
"2022-03-17T10:47:00Z",2
"2022-03-17T10:48:00Z",2
"2022-03-17T10:49:00Z",2
"2022-03-17T10:50:00Z",3
"2022-03-17T10:51:00Z",3
"2022-03-17T10:52:00Z",3
"2022-03-17T10:53:00Z",3
"2022-03-17T10:54:00Z",3
"2022-03-17T10:55:00Z",3
"2022-03-17T10:56:00Z",3
"2022-03-17T10:57:00Z",3
"2022-03-17T10:58:00Z",3
"2022-03-17T10:59:00Z",3
"2022-03-17T11:00:00Z",3
"2022-03-17T11:01:00Z",1
"2022-03-17T11:02:00Z",1
"2022-03-17T11:03:00Z",1
"2022-03-17T11:04:00Z",1
"2022-03-17T11:05:00Z",1
"2022-03-17T11:06:00Z",2
"2022-03-17T11:07:00Z",2
"2022-03-17T11:08:00Z",2
"2022-03-17T11:09:00Z",3
"2022-03-17T11:10:00Z",3
"2022-03-17T11:11:00Z",3
"2022-03-17T11:12:00Z",3
"2022-03-17T11:13:00Z",3
"2022-03-17T11:14:00Z",3
"2022-03-17T11:15:00Z",3
"2022-03-17T11:16:00Z",3
"2022-03-17T11:17:00Z",3
"2022-03-17T11:18:00Z",3
"2022-03-17T11:19:00Z",3
"2022-03-17T11:20:00Z",3
"2022-03-17T11:21:00Z",3
"2022-03-17T11:22:00Z",3
